Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr code generator,Informational,n/a,0,201.0K,,n/a,n/a,62,0.58,0.61,Go to a snapshot of the SERP for qr code generator,124,1 month
qr code erstellen,Informational,n/a,0,90.5K,,n/a,n/a,67,0.66,0.71,Go to a snapshot of the SERP for qr code erstellen,123,1 month
qr code,Informational,n/a,0,74.0K,,n/a,n/a,71,0.48,0.24,Go to a snapshot of the SERP for qr code,131,1 month
qr code erstellen kostenlos,Informational,n/a,0,18.1K,,n/a,n/a,66,0.74,0.74,Go to a snapshot of the SERP for qr code erstellen kostenlos,124,1 month
qr,Informational,n/a,0,12.1K,,n/a,n/a,78,0.45,0.10,Go to a snapshot of the SERP for qr,136,1 month
qr code monkey,Informational,n/a,0,12.1K,,n/a,n/a,28,0.29,0.42,Go to a snapshot of the SERP for qr code monkey,97,1 month
qr code generator kostenlos,Informational,n/a,0,9.9K,,n/a,n/a,64,0.66,0.73,Go to a snapshot of the SERP for qr code generator kostenlos,119,1 month
qr generator,Informational,n/a,0,9.9K,,n/a,n/a,67,0.58,0.61,Go to a snapshot of the SERP for qr generator,130,1 month
generating qr,Informational,n/a,0,8.1K,,n/a,n/a,67,0.58,0.61,Go to a snapshot of the SERP for generating qr,128,1 month
qr code generator qr code generator qr code generator,Informational,n/a,0,8.1K,,n/a,n/a,92,0.58,0.61,Go to a snapshot of the SERP for qr code generator qr code generator qr code generator,19,1 month
qr code generieren,Informational,n/a,0,8.1K,,n/a,n/a,60,0.70,0.73,Go to a snapshot of the SERP for qr code generieren,129,1 month
qr code how to get,Informational,n/a,0,8.1K,,n/a,n/a,91,0.58,0.61,Go to a snapshot of the SERP for qr code how to get,103,1 month
streepjescode generator,Informational,n/a,0,8.1K,,n/a,n/a,33,0.64,0.04,Go to a snapshot of the SERP for streepjescode generator,129,1 month
kode qr generator,Informational,n/a,0,6.6K,,n/a,n/a,70,0.58,0.61,Go to a snapshot of the SERP for kode qr generator,18,1 month
qr impfcode,Informational,n/a,0,6.6K,,n/a,n/a,15,0.00,0.33,Go to a snapshot of the SERP for qr impfcode,593,1 month
qrcode,Informational,n/a,0,6.6K,,n/a,n/a,79,0.48,0.24,Go to a snapshot of the SERP for qrcode,129,1 month
qrcode monkey,Navigational,n/a,0,6.6K,,n/a,n/a,33,0.29,0.42,Go to a snapshot of the SERP for qrcode monkey,130,1 month
qr-code generator,Commercial,n/a,0,5.4K,,n/a,n/a,62,0.58,0.61,Go to a snapshot of the SERP for qr-code generator,127,1 month
qrcode monkey qr code,Informational,n/a,0,5.4K,,n/a,n/a,29,0.48,0.24,Go to a snapshot of the SERP for qrcode monkey qr code,130,1 month
qr tag maker,Commercial,n/a,0,4.4K,,n/a,n/a,77,0.58,0.61,Go to a snapshot of the SERP for qr tag maker,195,1 month
qr writer,Informational,n/a,0,4.4K,,n/a,n/a,79,0.42,0.55,Go to a snapshot of the SERP for qr writer,160,1 month
qr-code,Informational,n/a,0,4.4K,,n/a,n/a,71,0.48,0.24,Go to a snapshot of the SERP for qr-code,131,1 month
create qr code generator free,Informational | Commercial,n/a,0,3.6K,,n/a,n/a,93,0.74,0.72,Go to a snapshot of the SERP for create qr code generator free,131,1 month
gen qr code free,Informational,n/a,0,3.6K,,n/a,n/a,72,0.74,0.72,Go to a snapshot of the SERP for gen qr code free,128,1 month
qr code erstellen kostenlos ohne anmeldung,Transactional,n/a,0,3.6K,,n/a,n/a,60,0.45,0.73,Go to a snapshot of the SERP for qr code erstellen kostenlos ohne anmeldung,106,1 month
qr code erzeugen,Informational,n/a,0,3.6K,,n/a,n/a,62,0.66,0.71,Go to a snapshot of the SERP for qr code erzeugen,44,1 month
qr code generator free,Informational,n/a,0,3.6K,,n/a,n/a,87,0.74,0.72,Go to a snapshot of the SERP for qr code generator free,136,1 month
qr tag app,Informational,n/a,0,3.6K,,n/a,n/a,48,0.29,0.48,Go to a snapshot of the SERP for qr tag app,165,1 month
barcode erstellen,Informational,n/a,0,2.9K,,n/a,n/a,37,0.53,0.32,Go to a snapshot of the SERP for barcode erstellen,104,1 month
qr code kostenlos erstellen,Informational,n/a,0,2.9K,,n/a,n/a,62,0.73,0.77,Go to a snapshot of the SERP for qr code kostenlos erstellen,118,1 month
adobe qr code,Navigational,n/a,0,2.4K,,n/a,n/a,40,1.29,0.05,Go to a snapshot of the SERP for adobe qr code,109,1 month
create qr code,Informational,n/a,0,2.4K,,n/a,n/a,76,0.57,0.61,Go to a snapshot of the SERP for create qr code,126,1 month
free qr code generator,Informational,n/a,0,2.4K,,n/a,n/a,92,0.76,0.74,Go to a snapshot of the SERP for free qr code generator,132,1 month
qr code adobe,Informational,n/a,0,2.4K,,n/a,n/a,37,1.29,0.05,Go to a snapshot of the SERP for qr code adobe,n/a,1 month
qr code kostenlose erstellen,Commercial,n/a,0,2.4K,,n/a,n/a,63,0.73,0.77,Go to a snapshot of the SERP for qr code kostenlose erstellen,125,1 month
qr codes,Informational,n/a,0,2.4K,,n/a,n/a,70,0.48,0.24,Go to a snapshot of the SERP for qr codes,129,1 month
qr codes erstellen,Informational,n/a,0,2.4K,,n/a,n/a,58,0.00,0.00,Go to a snapshot of the SERP for qr codes erstellen,127,1 month
qr qr code,Informational,n/a,0,2.4K,,n/a,n/a,72,0.48,0.24,Go to a snapshot of the SERP for qr qr code,135,1 month
qr tag,Informational,n/a,0,2.4K,,n/a,n/a,73,0.48,0.24,Go to a snapshot of the SERP for qr tag,78,1 month
qrcode generator,Informational,n/a,0,2.4K,,n/a,n/a,82,0.58,0.61,Go to a snapshot of the SERP for qrcode generator,134,1 month
quick response code generator,Informational,n/a,0,2.4K,,n/a,n/a,90,0.58,0.61,Go to a snapshot of the SERP for quick response code generator,20,1 month
adobe qr,Informational | Navigational,n/a,0,1.9K,,n/a,n/a,46,1.29,0.05,Go to a snapshot of the SERP for adobe qr,10,1 month
build qr,Informational,n/a,0,1.9K,,n/a,n/a,67,0.55,0.62,4,127,1 month
generate qr,Informational,n/a,0,1.9K,,n/a,n/a,70,0.58,0.61,Go to a snapshot of the SERP for generate qr,128,1 month
kostenlos qr code erstellen,Commercial,n/a,0,1.9K,,n/a,n/a,61,0.84,0.79,Go to a snapshot of the SERP for kostenlos qr code erstellen,130,1 month
link to qr code,Commercial,n/a,0,1.9K,,n/a,n/a,69,0.26,0.60,8,127,1 month
qr code code scannen,Informational,n/a,0,1.9K,,n/a,n/a,53,0.26,0.37,Go to a snapshot of the SERP for qr code code scannen,138,1 month
qr code generieren kostenlos,Informational,n/a,0,1.9K,,n/a,n/a,59,0.82,0.77,8,117,1 month
qr code visitenkarte,Informational,n/a,0,1.9K,,n/a,n/a,22,1.59,1.00,Go to a snapshot of the SERP for qr code visitenkarte,116,1 month
qr code writer free,Informational,n/a,0,1.9K,,n/a,n/a,91,0.79,0.72,4,171,1 month
qr tag generator,Commercial,n/a,0,1.9K,,n/a,n/a,61,0.52,0.64,3,130,1 month
