Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr code generator,Informational,n/a,0,1.2M,,n/a,n/a,100,0.04,0.07,Go to a snapshot of the SERP for qr code generator,139,1 month
qr code scanner,Commercial,n/a,0,550.0K,,n/a,n/a,80,0.02,0.07,Go to a snapshot of the SERP for qr code scanner,140,1 month
zips qr code,Informational,n/a,0,301.0K,,n/a,n/a,28,0.00,0.33,Go to a snapshot of the SERP for zips qr code,124,1 month
barcode on myntra product,Informational,n/a,0,135.0K,,n/a,n/a,21,0.00,0.33,Go to a snapshot of the SERP for barcode on myntra product,73,1 month
bulk barcode generator,Informational,n/a,0,135.0K,,n/a,n/a,32,0.84,0.01,Go to a snapshot of the SERP for bulk barcode generator,92,1 month
kod qr,Informational,n/a,0,135.0K,,n/a,n/a,96,0.03,0.01,Go to a snapshot of the SERP for kod qr,139,1 month
myntra barcode number,Informational,n/a,0,135.0K,,n/a,n/a,17,0.00,0.33,Go to a snapshot of the SERP for myntra barcode number,74,1 month
qr kod,Informational,n/a,0,135.0K,,n/a,n/a,91,0.03,0.01,Go to a snapshot of the SERP for qr kod,135,1 month
barcode of any product,Informational,n/a,0,110.0K,,n/a,n/a,49,0.17,0.33,Go to a snapshot of the SERP for barcode of any product,109,1 month
qr barcode,Informational,n/a,0,110.0K,,n/a,n/a,71,0.02,0.01,Go to a snapshot of the SERP for qr barcode,109,1 month
google qr,Navigational,n/a,0,90.5K,,n/a,n/a,63,0.02,0.33,Go to a snapshot of the SERP for google qr,73,1 month
imei barcode,Informational,n/a,0,90.5K,,n/a,n/a,19,0.00,0.33,Go to a snapshot of the SERP for imei barcode,52,1 month
myntra barcode,Informational,n/a,0,90.5K,,n/a,n/a,24,0.00,0.33,Go to a snapshot of the SERP for myntra barcode,75,1 month
qr address,Informational,n/a,0,90.5K,,n/a,n/a,78,0.05,0.01,Go to a snapshot of the SERP for qr address,110,1 month
qr code,Informational,n/a,0,90.5K,,n/a,n/a,90,0.02,0.01,Go to a snapshot of the SERP for qr code,132,1 month
qr code address,Informational,n/a,0,90.5K,,n/a,n/a,50,0.05,0.01,Go to a snapshot of the SERP for qr code address,101,1 month
blue qr code,Informational,n/a,0,74.0K,,n/a,n/a,46,0.00,0.33,Go to a snapshot of the SERP for blue qr code,112,1 month
bulk qr code generator,Commercial,n/a,0,74.0K,,n/a,n/a,37,0.25,0.01,Go to a snapshot of the SERP for bulk qr code generator,127,1 month
call qr code,Informational | Commercial,n/a,0,74.0K,,n/a,n/a,24,0.00,0.00,Go to a snapshot of the SERP for call qr code,80,1 month
