Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr code generator,Commercial,n/a,0,110.0K,,n/a,n/a,90,0.96,0.71,Go to a snapshot of the SERP for qr code generator,137,1 month
qr code,Informational,n/a,0,40.5K,,n/a,n/a,91,0.79,0.32,Go to a snapshot of the SERP for qr code,134,1 month
free qr code generator,Informational,n/a,0,18.1K,,n/a,n/a,91,1.38,0.80,Go to a snapshot of the SERP for free qr code generator,130,1 month
qr tag creator,Informational,n/a,0,14.8K,,n/a,n/a,79,0.92,0.70,Go to a snapshot of the SERP for qr tag creator,140,1 month
code generator qr,Commercial,n/a,0,12.1K,,n/a,n/a,92,0.92,0.70,Go to a snapshot of the SERP for code generator qr,136,1 month
create qr code,Informational,n/a,0,12.1K,,n/a,n/a,83,1.14,0.77,Go to a snapshot of the SERP for create qr code,132,1 month
how to create a qr code,Informational,n/a,0,12.1K,,n/a,n/a,88,1.55,0.72,Go to a snapshot of the SERP for how to create a qr code,108,1 month
qr code generator free,Commercial,n/a,0,12.1K,,n/a,n/a,92,1.29,0.78,Go to a snapshot of the SERP for qr code generator free,133,1 month
quar kodu,Informational,n/a,0,12.1K,,n/a,n/a,91,0.00,0.00,Go to a snapshot of the SERP for quar kodu,135,1 month
querkod,Informational,n/a,0,12.1K,,n/a,n/a,59,0.79,0.32,Go to a snapshot of the SERP for querkod,1.7K,1 month
adobe qr code generator,Navigational,n/a,0,9.9K,,n/a,n/a,41,1.14,0.05,Go to a snapshot of the SERP for adobe qr code generator,132,1 month
create qr code generator free,Commercial,n/a,0,9.9K,,n/a,n/a,88,1.29,0.78,Go to a snapshot of the SERP for create qr code generator free,128,1 month
free qr builder,Informational,n/a,0,9.9K,,n/a,n/a,91,1.29,0.78,Go to a snapshot of the SERP for free qr builder,131,1 month
gen qr code free,Commercial,n/a,0,9.9K,,n/a,n/a,84,1.19,0.78,Go to a snapshot of the SERP for gen qr code free,134,1 month
