Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr code generator,Commercial,n/a,0,1.2M,,n/a,n/a,100,1.68,0.60,Go to a snapshot of the SERP for qr code generator,136,1 month
qr code scanner,Informational,n/a,0,165.0K,,n/a,n/a,86,0.76,0.35,Go to a snapshot of the SERP for qr code scanner,205,1 month
free qr code generator,Commercial,n/a,0,135.0K,,n/a,n/a,100,2.07,0.74,Go to a snapshot of the SERP for free qr code generator,125,1 month
how to create a qr code,Informational,n/a,0,135.0K,,n/a,n/a,88,2.61,0.69,Go to a snapshot of the SERP for how to create a qr code,166,1 month
qr code,Informational,n/a,0,135.0K,,n/a,n/a,100,1.24,0.35,Go to a snapshot of the SERP for qr code,127,1 month
scan,Navigational,n/a,0,74.0K,,n/a,n/a,73,1.07,0.31,Go to a snapshot of the SERP for scan,138,1 month
qr code generator free,Commercial,n/a,0,60.5K,,n/a,n/a,95,2.02,0.73,Go to a snapshot of the SERP for qr code generator free,124,1 month
qrcode generator,Informational | Commercial,n/a,0,60.5K,,n/a,n/a,98,1.68,0.60,Go to a snapshot of the SERP for qrcode generator,20,1 month
scanner,Commercial,n/a,0,60.5K,,n/a,n/a,92,1.14,0.50,Go to a snapshot of the SERP for scanner,242,1 month
canva qr code generator,Informational,n/a,0,49.5K,,n/a,n/a,27,2.23,0.04,Go to a snapshot of the SERP for canva qr code generator,554K,1 month
how to scan a qr code,Informational,n/a,0,49.5K,,n/a,n/a,75,0.53,0.55,Go to a snapshot of the SERP for how to scan a qr code,176,1 month
qr code maker,Commercial,n/a,0,49.5K,,n/a,n/a,91,1.31,0.59,Go to a snapshot of the SERP for qr code maker,130,1 month
qr code of wechat,Informational,n/a,0,49.5K,,n/a,n/a,24,0.00,0.33,Go to a snapshot of the SERP for qr code of wechat,52.1K,1 month
create qr code,Informational | Commercial,n/a,0,40.5K,,n/a,n/a,98,2.16,0.73,Go to a snapshot of the SERP for create qr code,129,1 month
kod qr scan,Informational,n/a,0,40.5K,,n/a,n/a,83,0.76,0.35,Go to a snapshot of the SERP for kod qr scan,139,1 month
qr code writer free,Informational,n/a,0,40.5K,,n/a,n/a,93,2.07,0.74,Go to a snapshot of the SERP for qr code writer free,156,1 month
adobe qr code generator,Navigational,n/a,0,33.1K,,n/a,n/a,42,2.02,0.03,Go to a snapshot of the SERP for adobe qr code generator,n/a,1 month
flowxd,Informational,n/a,0,33.1K,,n/a,n/a,12,5.77,0.09,Go to a snapshot of the SERP for flowxd,107,1 month
generating qr,Informational | Commercial,n/a,0,33.1K,,n/a,n/a,100,1.68,0.60,Go to a snapshot of the SERP for generating qr,127,1 month
